Ano, M̩dia
1743,4.36
1744,89.65
1745,1.67
1750,108.99
1751,81.82
1752,21.94
1753,126.9
1754,120.29
1755,117.99
1756,136.26
1757,135.65
1758,117.73
1759,134.35
1760,120.41
1761,129.39
1762,122.02
1763,123.77
1764,138.58
1765,140.36
1766,147.0
1767,136.07
1768,130.55
1769,140.79
1770,140.39
1771,141.33
1772,150.08
1773,149.54
1774,155.27
1775,150.92
1776,152.04
1777,149.27
1778,143.27
1779,141.03
1780,146.29
1781,143.4
1782,129.74
1783,137.99
1784,130.72
1785,136.06
1786,146.56
1787,149.78
1788,138.47
1789,153.87
1790,155.34
1791,190.04
1792,189.68
1793,177.16
1794,183.39
1795,171.55
1796,610.97
1797,560.13
1798,539.29
1799,606.71
1800,617.14
1801,541.51
1802,632.9
1803,614.82
1804,627.75
1805,612.65
1806,619.24
1807,536.28
1808,176.05
1809,213.77
1810,216.65
1811,226.77
1812,208.04
1813,651.92
1814,600.46
1815,638.52
1816,674.14
1817,699.85
1818,689.91
1819,730.82
1820,750.05
1821,823.96
1822,838.15
1823,810.0
1824,800.95
1825,923.71
1826,810.45
1827,822.76
1828,806.2
1829,797.53
1830,786.78
1831,762.31
1832,767.43
1833,958.36
1834,969.24
1835,925.64
1836,922.58
1837,913.19
1838,902.32
1839,1000.28
1840,1133.36
1841,1216.43
1842,1218.69
1843,1282.5
1844,1122.66
1845,1190.75
1846,1210.57
1847,1177.95
1848,1170.07
1849,1256.24
1850,1447.02
1851,1495.2
1852,1423.08
1853,1431.63
1854,1452.86
1855,1435.96
1856,1498.46
1857,1466.93
1858,1318.57
1859,1458.7
1860,1328.81
1861,1359.85
1862,1009.1
1863,1053.97
1864,1173.78
1865,1307.24
1866,1360.53
1867,1338.97
1868,1377.45
1869,1423.68
1870,1519.8
1871,1500.46
1872,1532.91
1873,1627.85
1874,1657.54
1875,1742.93
1876,1775.27
1877,1826.9
1878,1845.07
1879,1711.64
1880,1791.51
1881,1794.29
1882,1786.13
1883,1770.14
1884,1719.96
1885,1672.28
1886,1779.22
1887,1787.36
1888,1790.39
1889,1836.79
1890,1830.26
1891,1847.45
1892,1840.67
1893,1803.61
1894,1853.31
1895,1841.77
1896,1864.13
1897,1866.87
1898,1874.86
1899,1880.61
1900,1886.03
1901,1874.45
1902,1878.81
1903,1857.49
1904,1833.96
1905,1845.3
1906,1858.46
1907,1831.11
1908,1842.85
1909,1847.59
1910,1839.94
1911,1845.57
1912,1849.92
